date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Dec%202020%2002:26:31%20GMT	https://lh3.googleusercontent.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
21:26:31	75749/75749	---M--	200	added ('OK')	image/jpeg	etag:%22v1%22	https://lh5.googleusercontent.com/kK34tDsax-3T2lcf35EQcReZZK-yXS13DerkaGM5b3i4ys3MwmDKgItpz-Kb1ruLAqm8wc0-GPvsXqFJNv2QiMjIrSMYgM5rk_TGYdhohCdneS1aLbQ=w1280	/home/nare/web//home/nare/web/lh5.googleusercontent.com/unnamed.jpg	(from https://sites.google.com/view/nkarapetyan/project-page)
21:26:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Dec%202020%2002:26:32%20GMT	https://lh6.googleusercontent.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
21:26:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Dec%202020%2002:26:33%20GMT	https://lh4.googleusercontent.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
21:26:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Dec%202020%2002:26:34%20GMT	https://lh5.googleusercontent.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
21:26:35	155166/155166	URF---	200	added ('OK%20(cached)')	image/jpeg		https://lh3.googleusercontent.com/ORb0CyclKEEf8AZzfk2pl5RRwBtn1wpqY_Wy7kr1fiwVZxs0V1l7IVv12EMcaFkresLPkgXTaaCQc5-cdP0JQHE3xNZsOTYbsV2E0RLovOUF_PJQPQ=w1280	/home/nare/web//home/nare/web/lh3.googleusercontent.com/unnamed.jpg	(from https://sites.google.com/view/nkarapetyan)
21:26:35	10712/10712	URF---	200	added ('OK%20(cached)')	image/png		https://lh6.googleusercontent.com/phLdt7dBzoSKRUHjG70jjYeNxBQsnFXysWF1gHYrMSObatcjR1z30DbyEIrKQDM5xogw1CkEw9Y2_Fyrxg1yjB8UgpwnTzL1pEa18pF39jNdg_8Y6A=w1280	/home/nare/web//home/nare/web/lh6.googleusercontent.com/unnamed.png	(from https://sites.google.com/view/nkarapetyan)
21:26:36	15939/15939	URF---	200	added ('OK%20(cached)')	image/png		https://lh4.googleusercontent.com/83qKkINHEHXDR04Xc4GAsUZqrLI8ZFESZos1xemaVlMoOQ0DdDf_XL9AsoXTQBCTRJiiuNbbig=w1280	/home/nare/web//home/nare/web/lh4.googleusercontent.com/unnamed.png	(from https://sites.google.com/view/nkarapetyan)
21:26:37	12530/12530	UR-MC-	200	added ('OK')	application/javascript	etag:%22da9cb9831b18d13d9b7f4e097bbab5f3%22	https://apis.google.com/js/client.js?onload=gapiLoaded	/home/nare/web//home/nare/web/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/nkarapetyan)
21:26:37	75749/75749	URF---	200	added ('OK%20(cached)')	image/jpeg		https://lh5.googleusercontent.com/kK34tDsax-3T2lcf35EQcReZZK-yXS13DerkaGM5b3i4ys3MwmDKgItpz-Kb1ruLAqm8wc0-GPvsXqFJNv2QiMjIrSMYgM5rk_TGYdhohCdneS1aLbQ=w1280	/home/nare/web//home/nare/web/lh5.googleusercontent.com/unnamed.jpg	(from https://sites.google.com/view/nkarapetyan/project-page)
21:26:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Dec%202020%2002:26:38%20GMT	https://lh6.googleusercontent.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
21:26:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Dec%202020%2002:26:39%20GMT	https://lh4.googleusercontent.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
21:26:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Dec%202020%2002:26:40%20GMT	https://lh5.googleusercontent.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
21:26:41	297036/297036	URF---	200	added ('OK%20(cached)')	image/png		https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	/home/nare/web//home/nare/web/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/nkarapetyan)
